densenet169_num-23800 top1:0.7611344537815126, top5:0.9319747899159664, time cost: 3.1836864948272705s
densenet169_num-23900 top1:0.7608786610878661, top5:0.9319665271966527, time cost: 3.1409406661987305s
densenet169_num-24000 top1:0.7606666666666667, top5:0.9318333333333333, time cost: 3.140482187271118s
densenet169_num-24100 top1:0.7606224066390042, top5:0.9317427385892116, time cost: 3.2158005237579346s
densenet169_num-24200 top1:0.760495867768595, top5:0.9316942148760331, time cost: 3.1541550159454346s
densenet169_num-24300 top1:0.7604938271604939, top5:0.9318106995884774, time cost: 3.1888575553894043s
densenet169_num-24400 top1:0.7604508196721311, top5:0.9317213114754098, time cost: 3.2761688232421875s
densenet169_num-24500 top1:0.7602857142857142, top5:0.9315918367346939, time cost: 3.149229049682617s
densenet169_num-24600 top1:0.7602845528455284, top5:0.9316666666666666, time cost: 3.1647701263427734s
densenet169_num-24700 top1:0.7600809716599191, top5:0.9317004048582996, time cost: 3.1610302925109863s
densenet169_num-24800 top1:0.7600806451612904, top5:0.9317741935483871, time cost: 3.1455154418945312s
densenet169_num-24900 top1:0.7602409638554217, top5:0.9318875502008032, time cost: 3.1425540447235107s
densenet169_num-25000 top1:0.76016, top5:0.9318, time cost: 3.1413114070892334s
densenet169_num-25100 top1:0.7602788844621514, top5:0.9319123505976096, time cost: 3.1378467082977295s
densenet169_num-25200 top1:0.7601587301587301, top5:0.9319047619047619, time cost: 3.1685051918029785s
densenet169_num-25300 top1:0.7601185770750988, top5:0.9318181818181818, time cost: 3.169541597366333s
densenet169_num-25400 top1:0.7601574803149607, top5:0.9318503937007874, time cost: 3.265824556350708s
densenet169_num-25500 top1:0.7601960784313726, top5:0.9317647058823529, time cost: 3.232008695602417s
densenet169_num-25600 top1:0.7603515625, top5:0.9319140625, time cost: 3.1372904777526855s
densenet169_num-25700 top1:0.7606614785992218, top5:0.9320622568093385, time cost: 3.120938539505005s
densenet169_num-25800 top1:0.7605038759689923, top5:0.932015503875969, time cost: 3.1439242362976074s
densenet169_num-25900 top1:0.7602702702702703, top5:0.931930501930502, time cost: 3.1792941093444824s
densenet169_num-26000 top1:0.7603461538461539, top5:0.932, time cost: 3.166520118713379s
densenet169_num-26100 top1:0.7603831417624521, top5:0.9319923371647509, time cost: 3.151472568511963s
densenet169_num-26200 top1:0.7603053435114504, top5:0.9320992366412214, time cost: 3.127196788787842s
densenet169_num-26300 top1:0.7601520912547528, top5:0.9322053231939164, time cost: 3.1486241817474365s
densenet169_num-26400 top1:0.7601515151515151, top5:0.9322348484848485, time cost: 3.1464834213256836s
densenet169_num-26500 top1:0.7604905660377359, top5:0.9322264150943397, time cost: 3.124743938446045s
densenet169_num-26600 top1:0.7606015037593985, top5:0.9322556390977443, time cost: 3.0673258304595947s
densenet169_num-26700 top1:0.7605243445692884, top5:0.932059925093633, time cost: 3.0424365997314453s
densenet169_num-26800 top1:0.7606716417910447, top5:0.9320149253731344, time cost: 3.131169080734253s
densenet169_num-26900 top1:0.7604832713754647, top5:0.9320817843866172, time cost: 3.092487335205078s
